date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-10-18 17:54:38,JustinTrudeau,,144,253,4709,"And a happy birthday to my dad who would have been 99 today. Tu me manques, papa!",,,,1052981294836142082,https://twitter.com/JustinTrudeau/status/1052981294836142082
2018-10-18 17:54:37,JustinTrudeau,,276,399,8009,"11 years old today… man, time flies. Happy birthday Xav!pic.twitter.com/rTZ1KJEvij",,,,1052981288574078976,https://twitter.com/JustinTrudeau/status/1052981288574078976
2018-10-18 17:53:37,JustinTrudeau,,20,37,439,"Et bon anniversaire à mon père, qui aurait eu 99 ans aujourd’hui. Tu me manques, papa!",,,,1052981038195060739,https://twitter.com/JustinTrudeau/status/1052981038195060739
2018-10-18 17:53:36,JustinTrudeau,,22,52,579,"11 ans aujourd’hui... c’est fou comme le temps passe vite. Bonne fête, Xav!pic.twitter.com/a77zobsyxG",,,,1052981032062996485,https://twitter.com/JustinTrudeau/status/1052981032062996485
2018-10-18 12:04:45,JustinTrudeau,,257,1981,6399,"On this day in 1929, Canadian women were finally recognized as “persons” under the law. Today, we pay tribute to the Famous Five, whose fight for equality helped women take their rightful place in our democracy: https://pm.gc.ca/eng/news/2018/10/18/statement-prime-minister-persons-day …",,,,1052893242172301312,https://twitter.com/JustinTrudeau/status/1052893242172301312
2018-10-18 12:04:33,JustinTrudeau,,12,79,357,"En ce jour de 1929, les Canadiennes ont enfin été reconnues comme des « personnes » au sens de la loi. Rendons hommage aux Célèbres cinq, dont la lutte pour l’égalité a aidé les femmes à prendre la place qui leur revient au sein de notre démocratie :https://pm.gc.ca/fra/nouvelles/2018/10/18/declaration-du-premier-ministre-loccasion-de-la-journee-de-laffaire-personne …",,,,1052893190347468807,https://twitter.com/JustinTrudeau/status/1052893190347468807
2018-10-18 00:16:25,JustinTrudeau,,345,329,2102,"Canada’s trade negotiators put in long hours for a long time to help negotiate the USMCA. They went above & beyond to get a good deal for Canadians, and today we said thanks.pic.twitter.com/kHKTWZpjyU",,,,1052714984357199874,https://twitter.com/JustinTrudeau/status/1052714984357199874
2018-10-18 00:15:55,JustinTrudeau,,19,29,248,"Pendant plusieurs mois, les négociateurs commerciaux du Canada ont passé de longues heures à négocier l'AEUMC. Ils ont fait un travail exceptionnel afin d'obtenir un bon accord pour les Canadiens, et aujourd'hui nous les avons remerciés.pic.twitter.com/U6drctO7dT",,,,1052714858083491840,https://twitter.com/JustinTrudeau/status/1052714858083491840
2018-10-17 12:50:12,JustinTrudeau,,1958,9407,27914,"Profits out of the hands of criminals. Protection for our kids. Today #cannabis is legalized and regulated across Canada.pic.twitter.com/0ZxtohOHG0",,,#cannabis,1052542290860883968,https://twitter.com/JustinTrudeau/status/1052542290860883968
2018-10-17 12:49:10,JustinTrudeau,,60,140,430,"Les profits hors de la portée des criminels. Une plus grande protection pour nos enfants. Aujourd’hui, le Canada légalise et réglemente strictement le #cannabis à l’échelle du pays.pic.twitter.com/p3NinUS0g9",,,#cannabis,1052542032630177792,https://twitter.com/JustinTrudeau/status/1052542032630177792
2018-10-16 23:59:42,JustinTrudeau,JustinTrudeau,198,290,1253,"The first bill we debated this fall was on the CPTPP trade deal – it passed third reading in the House today and now it’s headed to the Senate. A new law = a new trade deal = access to new markets for Canadians = new opportunities to grow the middle class.https://twitter.com/JustinTrudeau/status/1007373213893001217 …",,,,1052348391999631360,https://twitter.com/JustinTrudeau/status/1052348391999631360
2018-10-16 23:59:23,JustinTrudeau,JustinTrudeau,5,31,180,"Le premier projet de loi débattu cet automne – le PTPGP – a franchi l’étape de la troisième lecture à la Chambre et se dirige maintenant vers le Sénat. Nouvelle loi = nouvel accord commercial = accès à de nouveaux marchés = nouvelles occasions de faire croître la classe moyenne.https://twitter.com/JustinTrudeau/status/1007405047242788866 …",,,,1052348311515086848,https://twitter.com/JustinTrudeau/status/1052348311515086848
2018-10-16 20:44:51,JustinTrudeau,,67,205,1080,"Game on. Our wounded warriors are ready to battle at @InvictusSydney. Good luck @IGTeamCanada – we’ll all be cheering for you! #SoldierOn #IG2018pic.twitter.com/R5GTd5pZ6Y",,@InvictusSydney @IGTeamCanada,#SoldierOn #IG2018pic,1052299354239840259,https://twitter.com/JustinTrudeau/status/1052299354239840259
2018-10-16 20:43:29,JustinTrudeau,,6,38,200,"Que les Jeux commencent. Nos héros blessés sont prêts à affronter les autres concurrents aux Jeux @InvictusSydney. Bonne chance @IGTeamCanada... nous sommes tous derrière vous! #SansLimites #JeuxInvictuspic.twitter.com/gUBrQ3WMON",,@InvictusSydney @IGTeamCanada,#SansLimites #JeuxInvictuspic,1052299012106346496,https://twitter.com/JustinTrudeau/status/1052299012106346496
2018-10-16 15:42:38,JustinTrudeau,,102,174,1110,"Canada & the Netherlands share a rich history & friendship. Next week, I’ll meet with Prime Minister Rutte in Ottawa to build on our common goals as we work together to increase trade & fight climate change. More on Prime Minister Rutte’s visit: https://pm.gc.ca/eng/news/2018/10/16/prime-minister-netherlands-visit-canada …",,,,1052223299269382145,https://twitter.com/JustinTrudeau/status/1052223299269382145
2018-10-16 15:42:06,JustinTrudeau,,8,20,180,"Le Canada et les Pays-Bas ont une riche histoire et une profonde amitié. La semaine prochaine, je reçois le PM Mark Rutte à Ottawa pour trouver des moyens de favoriser ensemble le commerce et l’action climatique. Détails de la visite du PM Rutte :https://pm.gc.ca/fra/nouvelles/2018/10/16/premier-ministre-des-pays-bas-effectuera-visite-au-canada …",,,,1052223166163156992,https://twitter.com/JustinTrudeau/status/1052223166163156992
2018-10-16 14:27:02,JustinTrudeau,,38,73,483,"Welcome to Ottawa, @KyChamber. This morning I talked with Kentucky business leaders and Ambassador Craft about investing in Canada and the benefits of the #USMCA. Thanks for the visit.pic.twitter.com/Xsw11VPStY",,@KyChamber,#USMCA,1052204271968690176,https://twitter.com/JustinTrudeau/status/1052204271968690176
2018-10-16 14:26:43,JustinTrudeau,,8,18,144,"Bienvenue à Ottawa, @KyChamber. Ce matin, j’ai discuté avec des chefs d’entreprise du Kentucky et avec l’ambassadeur Craft des avantages d’investir au Canada et de ceux qui découlent de l’ #AEUMC. Merci pour la visite.pic.twitter.com/9TbFANeOOr",,@KyChamber,#AEUMC,1052204195699458048,https://twitter.com/JustinTrudeau/status/1052204195699458048
2018-10-16 02:39:51,JustinTrudeau,,59,87,401,"One of my favourite things to talk about at events like the #FortuneGlobal conference is the incredible talent we have in Canada. @element_ai’s CEO @jfgagne & I talked about what Canadians are doing in AI in Montreal & across the country, and how we can keep the industry thrivingpic.twitter.com/Gs0INl5J9J",,@element_ai @jfgagne,#FortuneGlobal,1052026305737347077,https://twitter.com/JustinTrudeau/status/1052026305737347077
2018-10-16 02:39:40,JustinTrudeau,,17,45,308,"A pleasure to speak with Afsaneh Beschloss, the CEO of The Rock Creek Group today, to discuss how increased trade creates more jobs for the middle class, and more investment opportunities for businesses. Great to see you.pic.twitter.com/lzmr2uKdbp",,,,1052026258933121030,https://twitter.com/JustinTrudeau/status/1052026258933121030
